do not touch,Plasmid,Con [ng/ul],Conc (nM),Size (bp),mw (ng/pmol),,,plamsid (ng),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,repl,total DNA combo final volume w/water (uL),plasmid concentration nM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,,,,,,,
enter your value,,,,,,,what is 1x in fmol,fmols each 1x,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,4.00,11.00,multiplier,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,,,,,,,
let the formula do it's job,,,,,,,,total ng (6-well),3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,,,ul/6-well rxn,139.93,135.06,130.20,125.34,120.47,115.61,105.88,156.21,138.24,133.37,128.51,123.65,118.78,113.92,104.19,106.21,134.86,129.99,125.13,120.26,115.40,110.54,100.81,156.21,128.09,123.23,118.36,113.50,108.64,103.77,94.05,106.21,,volume (nL),total nmol transferred,total volume of stock transferred,,,
,m162_GvpA,387.000,107.084,5560.000,3614.000,,plasmid ng in chart,m162_GvpA,542.100,722.800,903.500,1084.200,1264.900,1445.600,1807.000,0.000,542.100,722.800,903.500,1084.200,1264.900,1445.600,1807.000,1355.250,542.100,722.800,903.500,1084.200,1264.900,1445.600,1807.000,0.000,542.100,722.800,903.500,1084.200,1264.900,1445.600,1807.000,1355.250,,,m162_GvpA,4.773,6.364,7.955,9.545,11.136,12.727,15.909,0.000,4.773,6.364,7.955,9.545,11.136,12.727,15.909,11.932,4.773,6.364,7.955,9.545,11.136,12.727,15.909,0.000,4.773,6.364,7.955,9.545,11.136,12.727,15.909,11.932,,m162_GvpA,0.003,30.560,,,
,m163_GvpF,50.000,15.068,5105.000,3318.250,,,m163_GvpF,10.370,10.370,10.370,10.370,10.370,10.370,10.370,0.000,20.739,20.739,20.739,20.739,20.739,20.739,20.739,82.956,41.478,41.478,41.478,41.478,41.478,41.478,41.478,0.000,82.956,82.956,82.956,82.956,82.956,82.956,82.956,82.956,,,m163_GvpF,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m163_GvpF,0.000,8.783,,,
,m164_GvpG ,40.000,12.966,4746.000,3084.900,,,m164_GvpG ,9.640,9.640,9.640,9.640,9.640,9.640,9.640,0.000,19.281,19.281,19.281,19.281,19.281,19.281,19.281,77.123,38.561,38.561,38.561,38.561,38.561,38.561,38.561,0.000,77.123,77.123,77.123,77.123,77.123,77.123,77.123,77.123,,,m164_GvpG ,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m164_GvpG ,0.000,10.207,,,
,m165_GvpJ,50.000,15.042,5114.000,3324.100,,,m165_GvpJ,10.388,10.388,10.388,10.388,10.388,10.388,10.388,0.000,20.776,20.776,20.776,20.776,20.776,20.776,20.776,83.103,41.551,41.551,41.551,41.551,41.551,41.551,41.551,0.000,83.103,83.103,83.103,83.103,83.103,83.103,83.103,83.103,,,m165_GvpJ,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m165_GvpJ,0.000,8.798,,,
,m166_GvpK,40.000,12.728,4835.000,3142.750,,,m166_GvpK,9.821,9.821,9.821,9.821,9.821,9.821,9.821,0.000,19.642,19.642,19.642,19.642,19.642,19.642,19.642,78.569,39.284,39.284,39.284,39.284,39.284,39.284,39.284,0.000,78.569,78.569,78.569,78.569,78.569,78.569,78.569,78.569,,,m166_GvpK,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m166_GvpK,0.000,10.398,,,
,m167_GvpN ,50.000,14.739,5219.000,3392.350,,,m167_GvpN ,10.601,10.601,10.601,10.601,10.601,10.601,10.601,0.000,21.202,21.202,21.202,21.202,21.202,21.202,21.202,84.809,42.404,42.404,42.404,42.404,42.404,42.404,42.404,0.000,84.809,84.809,84.809,84.809,84.809,84.809,84.809,84.809,,,m167_GvpN ,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m167_GvpN ,0.000,8.979,,,
,m168_GvpV,40.000,13.030,4723.000,3069.950,,,m168_GvpV,9.594,9.594,9.594,9.594,9.594,9.594,9.594,0.000,19.187,19.187,19.187,19.187,19.187,19.187,19.187,76.749,38.374,38.374,38.374,38.374,38.374,38.374,38.374,0.000,76.749,76.749,76.749,76.749,76.749,76.749,76.749,76.749,,,m168_GvpV,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.000,0.199,0.199,0.199,0.199,0.199,0.199,0.199,0.795,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.000,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,,m168_GvpV,0.000,10.157,,,
